npa_plz,town,state,latitude,longitude
1000,Lausanne 30 Cases,VD,46.552,6.65231
1001,Lausanne Sozialb.,VD,46.5196,6.63233
1002,Lausanne,VD,46.5196,6.63233
1003,Lausanne,VD,46.552,6.65231
1004,Lausanne,VD,46.5196,6.63233
1005,Lausanne,VD,46.5196,6.63233
1006,Lausanne,VD,46.5196,6.63233
1007,Lausanne,VD,46.5196,6.63233
1008,Jouxtens-M�zery,VD,46.5389,6.60497
1009,Pully,VD,46.5215,6.6695
1010,Lausanne 10 Dist,VD,46.552,6.65231
1011,Lausanne,VD,46.5254,6.64295
1012,Lausanne,VD,46.5263,6.65689
1014,Lausanne Adm cant,VD,46.5196,6.63234
1015,Lausanne,VD,46.552,6.65231
1017,Lausanne Veillon,VD,46.5196,6.63234
1018,Lausanne,VD,46.552,6.65231
1020,Renens VD 1 Dist,VD,46.5353,6.59366
1022,Chavannes-pr�s-Renens,VD,46.528,6.57367
1023,Crissier 1,VD,46.5585,6.57731
1024,Ecublens VD,VD,46.5272,6.55068
1025,Saint-Sulpice VD,VD,46.5121,6.53907
1026,Echandens,VD,46.5194,6.5338
1027,Lonay,VD,46.5299,6.51693
1028,Pr�verenges,VD,46.5161,6.529
1029,Villars-Sainte-Croix,VD,46.5658,6.56097
1030,Bussigny-p-L Dist,VD,46.5523,6.55006
1031,Mex VD,VD,46.5729,6.54388
1032,Romanel-sur-Lausanne,VD,46.5608,6.60851
1033,Cheseaux Dist,VD,46.5781,6.59439
1034,Boussens,VD,46.5983,6.58174
1035,Bournens,VD,46.6087,6.56391
1036,Sullens,VD,46.5894,6.56601
1037,Etagni�res,VD,46.6014,6.6085
1038,Bercher,VD,46.6916,6.7062
1040,Echallens Dist,VD,46.6385,6.6352
1041,Montaubion-Chardonney,VD,46.6123,6.69362
1042,Malapalud,VD,46.6242,6.57486
1043,Sugnens,VD,46.6511,6.67197
1044,Fey,VD,46.6729,6.67843
1045,Ogens,VD,46.7059,6.71921
1046,Rueyres,VD,46.6984,6.69471
1047,Oppens,VD,46.7165,6.69589
1051,Mont-Lausanne Poly,VD,46.5194,6.63345
1052,Mont-Lausanne Dist,VD,46.5548,6.64014
1053,Cugy VD,VD,46.5966,6.64064
1054,Morrens VD,VD,46.5899,6.58589
1055,Froideville,VD,46.5982,6.69172
1058,Villars-Tiercelin,VD,46.6186,6.70582
1059,Peney-le-Jorat,VD,46.6241,6.73051
1061,Villars-Mendraz,VD,46.6435,6.72612
1062,Sottens,VD,46.6528,6.73843
1063,Martherenges,VD,46.6601,6.75368
1066,Epalinges Dist,VD,46.5507,6.66843
1068,Les Monts-de-Pully,VD,46.5363,6.68942
1070,Puidoux,VD,46.5086,6.7841
1071,Chexbres Dist,VD,46.4843,6.78003
1072,Forel (Lavaux),VD,46.5379,6.76285
1073,Mollie-Margot,VD,46.5489,6.72701
1076,Ferlens VD,VD,46.5857,6.74403
1077,Servion,VD,46.5734,6.77662
1078,Essertes,VD,46.5612,6.78543
1080,Les Cullayes,VD,46.5682,6.75443
1081,Montpreveyres,VD,46.5813,6.73056
1082,Corcelles-le-Jorat,VD,46.601,6.73034
1083,M�zi�res VD,VD,46.5863,6.76087
1084,Carrouge VD,VD,46.5994,6.76651
1085,Vulliens,VD,46.6222,6.79337
1088,Ropraz,VD,46.6132,6.75262
1090,La Croix (Lutry),VD,46.5161,6.70255
1091,Aran,VD,46.5034,6.72197
1092,Belmont-sur-Lausanne,VD,46.5269,6.68728
1093,La Conversion,VD,46.5133,6.67741
1094,Paudex,VD,46.5084,6.67363
1095,Lutry Distribution,VD,46.5151,6.69896
1096,Cully Distribution,VD,46.4991,6.7317
1097,Riex,VD,46.5004,6.73385
1098,Epesses,VD,46.4951,6.74623
1099,Montpreveyres Foto,VD,46.576,6.74594
1110,Morges 1 Dist,VD,46.514,6.49313
1112,Echichens,VD,46.5269,6.4934
1113,Saint-Saphorin-sur-Morges,VD,46.5462,6.49042
1114,Colombier VD,VD,46.5542,6.462
1115,Vullierens,VD,46.5731,6.47738
1116,Cottens VD,VD,46.5725,6.45321
1117,Grancy,VD,46.5938,6.46339
1121,Bremblens,VD,46.544,6.51879
1122,Romanel-sur-Morges,VD,46.5562,6.50891
1123,Aclens,VD,46.5683,6.51084
1124,Gollion,VD,46.5852,6.51182
1125,Monnaz,VD,46.5319,6.47459
1126,Vaux-sur-Morges,VD,46.5308,6.46354
1127,Clarmont,VD,46.5459,6.44583
1128,Reverolle,VD,46.5381,6.43971
1131,Tolochenaz,VD,46.5016,6.47718
1132,Lully VD,VD,46.5006,6.4437
1134,Chigny,VD,46.5138,6.47359
1135,Denens,VD,46.5159,6.45225
1136,Bussy-Chardonney,VD,46.5288,6.44066
1141,S�very,VD,46.5686,6.44012
1142,Pampigny,VD,46.5862,6.42198
1143,Apples,VD,46.555,6.41656
1144,Ballens,VD,46.5532,6.37732
1145,Bi�re Caserne,VD,46.5478,6.31749
1146,Mollens VD,VD,46.5774,6.33816
1147,Montricher,VD,46.6024,6.3697
1148,La Coudre,VD,46.6244,6.39314
1149,Berolle,VD,46.5654,6.32626
1162,St-Prex Dist,VD,46.4854,6.44719
1163,Etoy,VD,46.4842,6.42174
1164,Buchillon,VD,46.4659,6.41282
1165,Allaman,VD,46.4694,6.39388
1166,Perroy,VD,46.4702,6.35903
1167,Lussy-sur-Morges,VD,46.4961,6.44464
1168,Villars-sous-Yens,VD,46.5064,6.42647
1169,Yens,VD,46.5242,6.40905
1170,Aubonne Dist,VD,46.4906,6.38512
1172,Bougy-Villars,VD,46.4836,6.34894
1173,F�chy,VD,46.4788,6.37269
1174,Pizy,VD,46.4919,6.34586
1175,Lavigny,VD,46.4993,6.40395
1176,Saint-Livres,VD,46.5167,6.38185
1180,Rolle Distribution,VD,46.4576,6.33156
1182,Gilly,VD,46.4573,6.30012
1183,Bursins,VD,46.452,6.28623
1184,Luins,VD,46.4394,6.26912
1185,Mont-sur-Rolle,VD,46.4754,6.33631
1186,Essertines-sur-Rolle,VD,46.4847,6.31579
1187,Saint-Oyens,VD,46.4945,6.29917
1188,Saint-George,VD,46.5267,6.28937
1189,Saubraz,VD,46.5156,6.32499
1195,Bursinel,VD,46.4318,6.28995
1196,Gland Dist Fil,VD,46.4198,6.27291
1197,Prangins,VD,46.4007,6.25511
1200,Gen�ve 18,GE,46.2058,6.14139
1201,Gen�ve,GE,46.2058,6.14139
1202,Gen�ve,GE,46.2058,6.14139
1203,Gen�ve,GE,46.2058,6.14139
1204,Gen�ve,GE,46.2058,6.14139
1205,Gen�ve,GE,46.2058,6.14139
1206,Gen�ve,GE,46.2084,6.1427
1207,Gen�ve,GE,46.2058,6.14139
1208,Gen�ve,GE,46.2084,6.1427
1209,Gen�ve,GE,46.2058,6.14139
1211,Gen�ve 73,GE,46.1964,6.19204
1212,Lancy,GE,46.1828,6.1205
1213,Petit-Lancy Dist,GE,46.1825,6.10362
1214,Vernier Dist,GE,46.2107,6.09444
1215,Gen�ve 15 cases,GE,46.2058,6.14139
1216,Cointrin,GE,46.2109,6.11806
1217,Meyrin Dist,GE,46.2322,6.07887
1218,Grand-Saconnex D,GE,46.2358,6.11898
1219,Le Lignon Dist,GE,46.192,6.12188
1220,Les Avanchets,GE,46.2212,6.10785
1222,V�senaz Dist,GE,46.2314,6.19961
1223,Cologny Dist,GE,46.2177,6.18528
1224,Ch�ne-Bougeries,GE,46.1936,6.1815
1225,Ch�ne-Bourg Dist,GE,46.1974,6.19682
1226,Th�nex,GE,46.1961,6.20442
1227,Carouge GE Dist,GE,46.1805,6.14507
1228,Plan-les-Ouates,GE,46.1639,6.11884
1231,Conches,GE,46.1889,6.17799
1232,Confignon,GE,46.1742,6.08879
1233,Bernex Dist,GE,46.1785,6.06815
1234,Vessy Dist,GE,46.172,6.15828
1236,Cartigny,GE,46.1771,6.02879
1237,Avully,GE,46.1675,5.99823
1239,Collex-Bossy,GE,46.2759,6.11764
1240,Gen�ve,GE,46.2038,6.13993
1241,Puplinge,GE,46.2108,6.23199
1242,Satigny,GE,46.2141,6.03656
1243,Presinge,GE,46.219,6.25967
1244,Choulex,GE,46.2261,6.2211
1245,Collonge-Bellerive,GE,46.2553,6.19872
1246,Corsier GE,GE,46.2614,6.21398
1247,Ani�res,GE,46.2747,6.23305
1248,Hermance,GE,46.2936,6.24455
1251,Gy,GE,46.2456,6.26787
1252,Meinier,GE,46.243,6.23493
1253,Vandoeuvres,GE,46.219,6.20349
1254,Jussy,GE,46.2397,6.27801
1255,Veyrier,GE,46.1716,6.16667
1256,Troinex,GE,46.1588,6.15085
1257,Bardonnex,GE,46.1432,6.1137
1258,Perly-Certoux,GE,46.156,6.08467
1260,Nyon 1,VD,46.3864,6.22624
1261,Longirod,VD,46.4981,6.22595
1262,Eysins,VD,46.3815,6.20394
1263,Crassier,VD,46.3728,6.16752
1264,Saint-Cergue,VD,46.4496,6.1288
1265,La Cure,VD,46.4668,6.08899
1266,Duillier,VD,46.4091,6.22851
1267,Coinsins,VD,46.42,6.23694
1268,Begnins,VD,46.4715,6.26516
1269,Bassins,VD,46.4894,6.1991
1270,Tr�lex,VD,46.4189,6.19654
1271,Givrins,VD,46.429,6.1997
1272,Genolier,VD,46.4363,6.22025
1273,Arzier,VD,46.4864,6.17829
1274,Signy-Avenex,VD,46.3966,6.19153
1275,Ch�serex,VD,46.4086,6.14761
1276,Gingins,VD,46.4263,6.13796
1277,Arnex-sur-Nyon,VD,46.381,6.17905
1278,La Rippe,VD,46.3902,6.12006
1279,Chavannes-Bogis LS,VD,46.3401,6.1543
1281,Russin,GE,46.1932,6.01375
1283,La Plaine,GE,46.1986,5.98868
1284,Chancy,GE,46.1481,5.97986
1285,Avusy,GE,46.1485,5.99906
1286,Soral,GE,46.1477,6.04707
1287,Laconnex,GE,46.1547,6.03332
1288,Aire-la-Ville,GE,46.1862,6.04195
1289,Gen�ve Serv. Sp�c.,GE,46.196,6.19099
1290,Versoix Dist,VD,46.2915,6.14541
1291,Commugny,VD,46.3201,6.16343
1292,Pregny-Chamb�sy,GE,46.2389,6.13844
1293,Bellevue,GE,46.2573,6.13649
1294,Genthod,GE,46.2664,6.15385
1295,Tannay,VD,46.3024,6.16047
1296,Coppet Dist,VD,46.3214,6.18889
1297,Founex,VD,46.3365,6.18488
1298,C�ligny,GE,46.3517,6.1905
1299,Crans-pr�s-C�ligny,VD,46.3643,6.20516
1302,Vufflens-la-Ville,VD,46.5748,6.53683
1303,Penthaz,VD,46.5988,6.54128
1304,Cossonay Dist,VD,46.5992,6.48466
1305,Penthalaz,VD,46.6128,6.52905
1306,Daillens,VD,46.6286,6.54961
1307,Lussery-Villars,VD,46.3468,7.16329
1308,La Chaux (Cossonay),VD,46.6205,6.45049
1310,Daillens Centre Co,VD,46.6206,6.54867
1311,Ecl�pens DMIP,VD,46.6511,6.52899
1312,Ecl�pens,VD,46.6515,6.54288
1313,Ferreyres,VD,46.6543,6.47831
1315,La Sarraz,VD,46.6545,6.50475
1316,Chevilly,VD,46.6418,6.47186
1317,Orny,VD,46.6673,6.53565
1318,Pompaples,VD,46.6728,6.51688
1320,Daillens ST PP 1,VD,46.6288,6.53092
1321,Arnex-sur-Orbe,VD,46.685,6.51558
1322,Croy,VD,46.6852,6.48278
1323,Romainm�tier-Envy,VD,46.6847,6.46105
1324,Premier,VD,46.708,6.44193
1325,Vaulion,VD,46.687,6.38445
1326,Juriens,VD,46.6811,6.43174
1329,Bretonni�res,VD,46.7153,6.4703
1330,Daillens CALL,VD,46.6206,6.54867
1337,Vallorbe,VD,46.7079,6.3714
1338,Ballaigues,VD,46.7349,6.41029
1340,Daillens,VD,46.6206,6.54867
1341,Orient,VD,46.6011,6.23783
1342,Le Pont,VD,46.6673,6.30974
1343,Les Charbonni�res,VD,46.6669,6.31806
1344,L'Abbaye,VD,46.6361,6.31132
1345,Le Lieu,VD,46.6617,6.27933
1346,Les Bioux,VD,46.6154,6.25995
1347,Le Sentier Dist,VD,46.6202,6.23343
1348,Le Chenit,VD,46.5822,6.21866
1350,Orbe Distribution,VD,46.727,6.54304
1352,Agiez,VD,46.7181,6.50897
1353,Bofflens,VD,46.7017,6.49527
1354,Montcherand,VD,46.734,6.51209
1355,Sergey,VD,46.7506,6.49866
1356,Les Cl�es,VD,46.733,6.47126
1357,Lignerolle,VD,46.7468,6.44739
1358,Valeyres-sous-Rances,VD,46.7472,6.52942
1372,Bavois,VD,46.6812,6.56626
1373,Chavornay,VD,46.7065,6.56894
1374,Corcelles-sur-Chavornay,VD,46.7004,6.60406
1375,Penth�r�az,VD,46.6783,6.60587
1376,Goumoens-la-Ville,VD,46.6463,6.59021
1377,Oulens-sous-Echallens,VD,46.6448,6.56939
1400,Yverdon Caserne,VD,46.7743,6.63711
1401,Yverdon-les-Bains,VD,46.7831,6.65098
1404,Cuarny,VD,46.7704,6.69113
1405,Pomy,VD,46.7557,6.66845
1406,Cronay,VD,46.7544,6.69921
1407,Donneloye,VD,46.7266,6.71463
1408,Prahins,VD,46.735,6.73291
1409,Chan�az,VD,46.7274,6.74426
1410,Denezy,FR,46.7039,6.75892
1412,Valeyres-sous-Ursins,VD,46.7345,6.66598
1413,Orzens,VD,46.7151,6.6951
1414,Rueyres,VD,46.6967,6.74929
1415,Molondin,VD,46.7476,6.75672
1416,Pailly,VD,46.7001,6.67557
1417,Essertines-sur-Yverdon,VD,46.7142,6.64441
1418,Vuarrens,VD,46.6835,6.64505
1420,Fiez,VD,46.8306,6.60986
1421,Fontaines-sur-Grandson,VD,46.843,6.59209
1422,Grandson 2,VD,46.8146,6.64445
1423,Fontanezier,VD,46.8426,6.63501
1424,Champagne,VD,46.8357,6.65191
1425,Onnens VD,VD,46.8482,6.67316
1426,Corcelles-pr�s-Concise,VD,46.8671,6.71738
1427,Bonvillars,VD,46.8487,6.6697
1428,Provence-Mutrux,VD,46.8809,6.71804
1429,Giez,VD,46.8109,6.60928
1430,Orges,VD,46.8077,6.58335
1431,Novalles,VD,46.8319,6.59434
1432,Belmont-sur-Yverdon,VD,46.7373,6.62516
1433,Suchy,VD,46.7189,6.60201
1434,Ependes VD,VD,46.7427,6.59688
1435,Essert-Pittet,VD,46.7269,6.57874
1436,Treycovagnes,VD,46.7691,6.60507
1437,Susc�vaz,VD,46.7608,6.58503
1438,Mathod,VD,46.7596,6.56497
1439,Rances,VD,46.7659,6.52415
1440,Montagny-Chamard,VD,46.7906,6.62031
1441,Valeyres-sous-Montagny,VD,46.7981,6.6039
1442,Montagny-pr�s-Yverdon,VD,46.7898,6.60616
1443,Champvent,VD,46.7835,6.5637
1445,Vuiteboeuf,VD,46.8034,6.55249
1446,Baulmes,VD,46.7877,6.49944
1450,Ste-Croix Dist,VD,46.8242,6.50105
1452,Les Rasses,VD,46.829,6.53882
1453,Bullet,VD,46.8425,6.55882
1454,L'Auberson,VD,46.8417,6.48261
